30	here
210	 record
659	 to
719	 this
810	 computer
1199	 so
2159	 okay
30	__EVENT__
2419	

2429	thank
2760	 you
2879	 very
3030	 much
3240	 again
3720	 for
4110	 joining
2429	__EVENT__
4340	

4350	this
5279	 is
5520	 the
5819	 data
6000	 sensing
6390	 we're
6720	 about
4350	__EVENT__
7280	

7290	creating
7919	 reproducible
8550	 examples
10790	 there
11790	 is
7290	__EVENT__
11930	

11940	at
12360	 least
12690	 two
13019	 ways
13230	 that
14130	 I
14219	 know
14280	 of
14639	 in
11940	__EVENT__
14959	

14969	which
15859	 we
16859	 can
17070	 create
17250	 reducible
17880	 examples
14969	__EVENT__
18410	

18420	and
18570	 one
18869	 is
19170	 with
19710	 the
19830	 replica
20279	 package
21529	 the
18420	__EVENT__
22519	

22529	rubrics
22830	 package
23189	 is
23369	 designed
23939	 specifically
22529	__EVENT__
24710	

24720	for
24900	 this
25439	 purpose
25949	 and
26580	 it
26789	 has
26939	 a
26970	 very
27210	 good
24720	__EVENT__
27439	

27449	documentation
27840	 about
28529	 how
28949	 to
29279	 use
29580	 it
29960	 so
30960	 the
27449	__EVENT__
31099	

31109	very
31439	 first
31740	 link
31949	 here
32130	 for
32969	 this
33510	 whole
33960	 list
31109	__EVENT__
34220	

34230	of
34410	 links
34770	 at
35010	 point
35430	 places
36030	 that
36180	 you
36300	 are
34230	__EVENT__
36380	

36390	welcome
36780	 to
36899	 kind
37079	 of
37140	 visit
37559	 on
37710	 your
37950	 own
36390	__EVENT__
38060	

38070	time
38340	 I'm
38790	 read
39390	 a
39420	 bit
39629	 more
39660	 I'm
40079	 going
40350	 to
38070	__EVENT__
40459	

40469	kind
40620	 of
40649	 go
40800	 very
41040	 quickly
41340	 through
41520	 some
42059	 of
40469	__EVENT__
42139	

42149	the
42239	 key
42450	 points
44090	 like
45090	 with
45300	 you
45539	 but
45809	 then
42149	__EVENT__
45979	

45989	you're
46320	 gonna
46500	 come
46800	 back
46829	 to
47129	 this
47219	 before
45989	__EVENT__
47510	

47520	after
48180	 so
48989	 the
49530	 first
49770	 thing
49950	 it
50100	 kind
50250	 of
47520	__EVENT__
50270	

50280	shows
50579	 was
51120	 how
51570	 you
51629	 use
51899	 the
52140	 package
52440	 is
50280	__EVENT__
52700	

52710	extremely
53460	 simple
53760	 basically
54600	 you
55170	 copy
55469	 the
52710	__EVENT__
55639	

55649	code
55920	 for
