1040	okay
1360	 so
1520	 as
1760	 i
2159	 said
2399	 on
2480	 the
2560	 background
1040	__EVENT__
3030	

3040	before
3040	__EVENT__
3590	

3600	recording
4480	 today
4799	 the
4960	 ds
5279	 incubator
5759	 will
3600	__EVENT__
6070	

6080	talk
6560	 about
6080	__EVENT__
7349	

7359	branching
8000	 and
8240	 merging
9120	 we'll
9280	 get
9519	 as
9679	 far
7359	__EVENT__
9910	

9920	as
10080	 we
10240	 can
9920	__EVENT__
10790	

10800	um
11599	 in
11679	 this
11920	 series
12320	 of
12799	 meetups
13599	 we
13840	 are
10800	__EVENT__
14310	

14320	going
15280	 at
15440	 whatever
15839	 pace
16480	 we
16720	 need
17039	 to
14320	__EVENT__
17910	

17920	really
18160	 get
18480	 into
18800	 the
19279	 details
20480	 of
17920	__EVENT__
21029	

21039	um
21439	 how
21680	 to
21760	 do
21920	 things
22320	 with
22560	 git
23519	 um
21039	__EVENT__
26310	

26320	the
26560	 ideas
27039	 that
27199	 we're
27359	 going
27439	 to
27519	 be
26320	__EVENT__
27750	

27760	covering
28080	 today
28720	 is
29039	 you
29119	 know
29279	 how
29760	 you
29840	 know
27760	__EVENT__
29990	

30000	as
30160	 a
30320	 team
30560	 we
30640	 can
30880	 work
31119	 in
31279	 multiple
30000	__EVENT__
32150	

32160	features
32719	 at
32800	 the
32880	 same
33120	 time
33520	 without
32160	__EVENT__
34150	

34160	interfering
34719	 with
34880	 each
35120	 other
34160	__EVENT__
35830	

35840	and
36719	 how
37040	 to
37360	 combine
38239	 those
38640	 changes
35840	__EVENT__
39510	

39520	of
39680	 parallel
40079	 tracks
40559	 into
40800	 this
41200	 main
41600	 line
39520	__EVENT__
41910	

41920	of
42160	 work
41920	__EVENT__
43190	

43200	which
43440	 by
43680	 convention
44399	 is
44640	 a
44800	 branch
45120	 called
43200	__EVENT__
45350	

45360	master
45680	 but
45840	 there
45920	 is
46000	 nothing
45360	__EVENT__
46389	

46399	special
46640	 about
46800	 that
47039	 name
47280	 actually
47600	 it
47920	 is
46399	__EVENT__
48069	

48079	changing
48480	 that
48640	 to
49200	 the
49360	 name
49680	 main
49920	 i
50079	 believe
48079	__EVENT__
50630	

50640	or
50879	 trunk
51680	 to
52079	 remove
52640	 the
50640	__EVENT__
53750	

53760	the
53920	 connotation
54559	 with
55280	 the
55360	 connection
55760	 with
53760	__EVENT__
55830	

55840	slavery
55840	__EVENT__
56790	

56800	um and
56800	__EVENT__
60310	

60320	and
60399	 then
60800	 we're
61120	 gonna
61359	 also
61520	 be
61680	 talking
60320	__EVENT__
61990	

62000	about
62480	 the
62640	 idea
62960	 of
63039	 how
63199	 to
63359	 reference
63840	 a
62000	__EVENT__
63910	

63920	particular
63920	__EVENT__
64869	

64879	particular
65600	 point
66560	 in
66640	 the
66799	 history
67119	 of
67280	 a
64879	__EVENT__
67350	

67360	project
67760	 remember
68159	 that
68400	 commits
